,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
TRG 9 - Mid,870.551869,864.4792847,858.4490601,852.4608997,846.5145101,840.6095998,834.7458796,828.923062,823.1408619,817.3989959,811.6971825,806.0351425,800.4125984,794.8292746,789.2848977,783.7791958,778.3118993,772.8827402,767.4914526,762.1377721,756.8214366,751.5421855,746.2997601,741.0939035,735.9243607,730.7908783,725.6932049,720.6310905,715.6042872,710.6125487,705.6556303,700.7332892,695.8452841,690.9913756
TRG 9 - Constant,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869,870.551869
TRG 10 - Low,1019.598479,809.9889692,804.3388449,798.7281334,793.1565597,787.6238509,782.1297358,776.6739452,771.2562117,765.87627,760.5338564,755.2287091,749.9605681,744.7291754,739.5342745,734.375611,729.252932,724.1659865,719.1145254,714.098301,709.1170675,704.1705809,699.2585989,694.3808806,689.5371872,684.7272812,679.9509269,675.2078904,670.4979393,665.8208426,661.1763713,656.5642978,651.9843961,647.4364417
TRG 10 - Mid,1019.598479,1012.486211,1005.423556,998.4101667,991.4456997,984.5298136,977.6621697,970.8424314,964.0702647,957.3453375,950.6673205,944.0358863,937.4507101,930.9114692,924.4178431,917.9695137,911.566165,905.2074832,898.8931567,892.6228762,886.3963344,880.2132262,874.0732486,867.9761008,861.9214839,855.9091014,849.9386587,844.009863,838.1224241,832.2760533,826.4704642,820.7053723,814.9804951,809.2955522
TRG 10 - Constant,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479,1019.598479
TRG 11 - Low,1150.411677,913.9095315,907.5345034,901.2039447,894.9175451,888.6749967,882.4759936,876.3202319,870.2074101,864.1372287,858.1093901,852.1235991,846.1795623,840.2769885,834.4155884,828.5950748,822.8151626,817.0755685,811.3760112,805.7162116,800.0958921,794.5147776,788.9725944,783.4690711,778.0039378,772.576927,767.1877725,761.8362104,756.5219785,751.2448163,746.0044652,740.8006684,735.6331711,730.5017199
TRG 11 - Mid,1150.411677,1142.386914,1134.418129,1126.504931,1118.646931,1110.843746,1103.094992,1095.40029,1087.759263,1080.171536,1072.636738,1065.154499,1057.724453,1050.346236,1043.019485,1035.743844,1028.518953,1021.344461,1014.220014,1007.145264,1000.119865,993.143472,986.215743,979.3363388,972.5049223,965.7211587,958.9847157,952.2952631,945.6524731,939.0560203,932.5055815,926.0008356,919.5414639,913.1271499
TRG 11 - Constant,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677,1150.411677
TRG 12 - Low,1152.042635,915.2051964,908.8211304,902.4815967,896.1862848,889.9348862,883.7270947,877.5626059,871.4411178,865.3623306,859.3259463,853.3316691,847.3792053,841.4682633,835.5985535,829.7697881,823.9816815,818.2339503,812.5263127,806.858489,801.2302016,795.6411746,790.0911342,784.5798084,779.1069272,773.6722223,768.2754276,762.9162785,757.5945125,752.3098687,747.0620883,741.8509141,736.6760907,731.5373646
TRG 12 - Mid,1152.042635,1144.006496,1136.026413,1128.101996,1120.232856,1112.418608,1104.658868,1096.953257,1089.301397,1081.702913,1074.157433,1066.664586,1059.224007,1051.835329,1044.498192,1037.212235,1029.977102,1022.792438,1015.657891,1008.573111,1001.537752,994.5514683,987.6139177,980.7247605,973.883659,967.0902779,960.3442845,953.6453481,946.9931406,940.3873359,933.8276104,927.3136426,920.8451133,914.4217057
